Original URL,GitHub URL,CDNJS/Raw URL,File Size
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Wednesday_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Wednesday_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Wednesday_baqir.m4a,0.50 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Wednesday_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Wednesday_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Wednesday_baqir.mp3,2.94 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/abu_hamze_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/abu_hamze_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/abu_hamze_baqir.m4a,10.79 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/aminallah_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/aminallah_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/aminallah_baqir.m4a,0.89 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/aminallah_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/aminallah_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/aminallah_baqir.mp3,5.18 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/arbaeen_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/arbaeen_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/arbaeen_baqir.m4a,0.50 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/arbaeen_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/arbaeen_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/arbaeen_baqir.mp3,2.91 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/ashoura_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/ashoura_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/ashoura_baqir.m4a,2.45 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/ashoura_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/ashoura_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/ashoura_baqir.mp3,14.25 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/eftetah_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/eftetah_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/eftetah_baqir.m4a,3.52 MB
